,time
0,13.009153
1,72.89771
2,1.2337172
3,14.78855
4,13.039666
5,43.95412
6,27.89176
7,8.558203
8,62.193573
9,16.897669
10,26.23968
11,75.12942
12,6.73139
13,144.24567
14,3.4445267
15,5.0403786
16,24.530645
17,38.63224
18,24.134815
19,15.763749
20,3.3730564
21,2.2633677
22,9.344005
23,9.919309
24,8.795548
25,13.270982
26,18.36825
27,46.1229
28,99.28933
29,14.622063
30,71.542206
31,35.883636
32,10.792143
33,59.006798
34,60.483315
35,17.014086
36,62.960007
37,43.00514
38,4.9264383
39,35.94663
40,24.707043
41,71.77691
42,17.70737
43,35.72176
44,10.769355
45,61.286163
46,39.79749
47,20.024744
48,63.969265
49,6.968591
50,-3.5347934
51,80.23933
52,1.7562479
53,53.850025
54,41.263824
55,9.712362
56,0.39161682
57,18.017586
58,9.205159
59,23.760704
60,11.545169
61,30.94372
62,8.022727
63,41.51231
64,16.26598
65,50.820667
66,111.7559
67,10.634511
68,47.375526
69,44.852837
70,6.0803795
71,11.864751
72,42.607903
73,0.9888639
74,27.625015
75,58.94712
76,13.261931
77,25.464182
78,49.14343
79,36.97169
80,44.653824
81,25.302683
82,44.777275
83,19.116018
84,40.175835
85,18.633692
86,49.537205
87,16.566568
88,108.388214
89,34.00859
90,21.398386
91,45.201954
92,20.800873
93,93.39913
94,59.628
95,17.1238
96,92.83031
97,1.0514954
98,27.723572
99,2.8966346
