,time
0,1.4809707
1,5.1263804
2,0.49248582
3,1.7653587
4,3.3735251
5,6.7722616
6,5.6591425
7,0.6718937
8,5.523907
9,1.3491744
10,2.9075332
11,8.394373
12,2.5431151
13,15.415483
14,0.34102356
15,0.8208168
16,2.089268
17,3.989119
18,2.038735
19,1.6361517
20,0.23671098
21,1.1811018
22,1.7891613
23,1.1811478
24,1.0114717
25,2.1365855
26,3.870959
27,7.8514924
28,5.321241
29,1.2968719
30,8.4592905
31,4.716913
32,1.4351054
33,13.21037
34,6.9136934
35,0.8292597
36,4.422047
37,2.891569
38,2.1039996
39,2.9107175
40,3.8236248
41,13.888931
42,1.090153
43,4.6553545
44,1.0853655
45,3.9574711
46,3.5170612
47,2.7141306
48,7.0428214
49,0.6440883
50,1.6635463
51,13.104337
52,0.08047028
53,4.549737
54,5.756219
55,0.55719864
56,1.4012091
57,0.7956734
58,1.3937182
59,1.4193631
60,3.0756373
61,4.381073
62,2.4669423
63,6.149469
64,4.3648787
65,6.8241205
66,1.8539295
67,1.0865018
68,7.763672
69,3.2373242
70,0.30107218
71,2.6705549
72,7.1321306
73,0.102545045
74,4.694619
75,7.1074157
76,2.4967732
77,4.493915
78,2.7993908
79,1.7485244
80,8.222818
81,3.8470097
82,4.74441
83,2.673677
84,1.6959159
85,3.5471573
86,6.3794947
87,0.724867
88,7.718264
89,4.3864355
90,2.281554
91,1.9025646
92,2.2251549
93,10.328666
94,7.123655
95,2.5682535
96,17.722898
97,0.27585885
98,1.3046017
99,0.11750372
